Param name,"Feedforward ANN 
(no hidden)","Feedforward ANN 
(learned bias)","Feedforward ANN 
(no bias)",Backprop (EIANN),"Dendritic 
Target Propagation"
W$_{\mathrm{init}}$ (Output),5.386548065293654,0.5433568834277912,3.5188437031669753,5.977812184651836,5.42693091561223
"$\eta$, W (Output)",0.08158367762594287,0.010809269605442658,0.0013093338567102416,0.6722278010177094,0.09769059583309837
W$_{\mathrm{init}}$ (H1),-,3.092179371471005,0.7661562722497335,2.3272180408302083,3.744225231975699
"$\eta$, W (H1)",-,0.2344242206840233,0.008671959543266558,0.1769523365865042,0.08563556008428913
W$_{\mathrm{init}}$ (H2),-,1.0684801270167428,0.1340356807870724,5.183393888582326,3.396275790739738
"$\eta$, W (H2)",-,0.2344242206840233,0.008671959543266558,0.1769523365865042,0.08563556008428913
"Y$_{\mathrm{init}}$ (SomaI, H1)",-,-,-,4.708083116173457,1.7170718766585993
"W$_{\mathrm{init}}$ (SomaI, H1)",-,-,-,1.0646298621999981,8.526807327982732
"Q$_{\mathrm{init}}$ (SomaI, H1)",-,-,-,0.7308804739762219,2.5572584153779
"R$_{\mathrm{init}}$ (SomaI, H1)",-,-,-,1.9855959333563546,3.821257280968513
"Y$_{\mathrm{init}}$ (SomaI, H2)",-,-,-,3.2739710821473262,1.9615628171779207
"W$_{\mathrm{init}}$ (SomaI, H2)",-,-,-,3.3865583102791006,3.3568428244733775
"Q$_{\mathrm{init}}$ (SomaI, H2)",-,-,-,0.6920399968903772,2.6727727908526253
"R$_{\mathrm{init}}$ (SomaI, H2)",-,-,-,1.6564037734849306,2.527793096667097
"Y$_{\mathrm{init}}$ (SomaI, Output)",-,-,-,1.7629930575686048,1.1146623041886365
"W$_{\mathrm{init}}$ (SomaI, Output)",-,-,-,2.2899382496765948,1.9823693413208623
"Q$_{\mathrm{init}}$ (SomaI, Output)",-,-,-,1.4600401572902482,0.9622943352611545
"R$_{\mathrm{init}}$ (SomaI, Output)",-,-,-,1.5591878259608454,3.924537045484193
"Y$_{\mathrm{init}}$ (DendI, H1)",-,-,-,-,0.7284678918500063
"$\eta$, Y (DendI, H1)",-,-,-,-,0.21017123441495889
B$_{\mathrm{scale}}$ (H1),-,-,-,-,0.18792672488527343
"$\eta$, Q (DendI, H1)",-,-,-,-,0.08025562647850921
"Q$_{\mathrm{sum}}$ (DendI, H1)",-,-,-,-,9.419321612663568
"$\eta$, R (DendI, H1)",-,-,-,-,0.013435734037685639
"R$_{\mathrm{sum}}$ (DendI, H1)",-,-,-,-,1.1712464320902214
"Y$_{\mathrm{init}}$ (DendI, H2)",-,-,-,-,2.713538702536155
"$\eta$, Y (DendI, H2)",-,-,-,-,0.21017123441495889
B$_{\mathrm{scale}}$ (H2),-,-,-,-,0.7149623055734934
"$\eta$, Q (DendI, H2)",-,-,-,-,0.08025562647850921
"Q$_{\mathrm{sum}}$ (DendI, H2)",-,-,-,-,11.689952522403562
"$\eta$, R (DendI, H2)",-,-,-,-,0.013435734037685639
"R$_{\mathrm{sum}}$ (DendI, H2)",-,-,-,-,2.147366810208358
