Param name,Feedforward ANN,"Feedforward ANN 
(fixed hidden)","Feedforward ANN 
(no hidden)","Backprop 
(fixed SomaI)","Backprop 
(learned SomaI)","Backprop 
(no SomaI)",Hebbian
W$_{\mathrm{init}}$ (H1),2.957309048541877,5.011995913830346,-,2.416858991797159,2.3417824834756154,0.03126589111604868,-
"$\eta$, W (H1)",0.1652392249674756,-,-,0.3980860680942911,0.39131108185597463,0.190425996980815,0.005530094753086432
W$_{\mathrm{init}}$ (H2),0.30688143784094596,0.32719946303255487,-,0.5427969492492737,0.7159217705891364,1.4197298419217201,-
"$\eta$, W (H2)",0.1652392249674756,-,-,0.3980860680942911,0.39131108185597463,0.190425996980815,0.005530094753086432
W$_{\mathrm{init}}$ (Output),2.093606302139006,0.020279061698152266,0.0264769781294784,3.281687708158219,1.0173247817366127,3.9650112451759414,1.1091168830399416
"$\eta$, W (Output)",0.02168234235499228,0.058201439241708425,0.004068166395236531,0.07078468081982983,0.3264900426693538,0.011046295251110779,0.01925228325960693
"Y$_{\mathrm{init}}$ (SomaI, H1)",-,-,-,1.1158572938882887,1.533181728235414,-,-
"W$_{\mathrm{init}}$ (SomaI, H1)",-,-,-,3.1371037827062644,2.0285876282656115,-,-
"Q$_{\mathrm{init}}$ (SomaI, H1)",-,-,-,0.4835575833031128,0.3539605385732712,-,-
"R$_{\mathrm{init}}$ (SomaI, H1)",-,-,-,1.295863932103535,1.2781263390521735,-,-
"Y$_{\mathrm{init}}$ (SomaI, H2)",-,-,-,0.47127118148939817,0.9794941665420657,-,-
"W$_{\mathrm{init}}$ (SomaI, H2)",-,-,-,1.4413459916540117,1.0559707588453033,-,-
"Q$_{\mathrm{init}}$ (SomaI, H2)",-,-,-,1.5897266841738924,0.1487653643642255,-,-
"R$_{\mathrm{init}}$ (SomaI, H2)",-,-,-,2.408542744903562,1.4982843532157004,-,-
"Y$_{\mathrm{init}}$ (SomaI, Output)",-,-,-,1.5076419625966615,0.9428965319291286,-,-
"W$_{\mathrm{init}}$ (SomaI, Output)",-,-,-,2.94991175072541,0.8591579073099564,-,-
"Q$_{\mathrm{init}}$ (SomaI, Output)",-,-,-,0.598405721617929,0.22506063682616426,-,-
"R$_{\mathrm{init}}$ (SomaI, Output)",-,-,-,1.532615660819997,0.8823956574152774,-,-
"$\eta$, Y (SomaI, H1)",-,-,-,-,0.0016114544772369264,-,0.038760606777246964
"$\eta$, W (SomaI, H1)",-,-,-,-,0.08514800210126446,-,0.0006671745202106725
"$\eta$, Q (SomaI, H1)",-,-,-,-,0.08514800210126446,-,0.0006671745202106725
"$\eta$, R (SomaI, H1)",-,-,-,-,0.0028948036566861144,-,0.05227404145574587
"$\eta$, Y (SomaI, H2)",-,-,-,-,0.0016114544772369264,-,0.038760606777246964
"$\eta$, W (SomaI, H2)",-,-,-,-,0.08514800210126446,-,0.0006671745202106725
"$\eta$, Q (SomaI, H2)",-,-,-,-,0.08514800210126446,-,0.0006671745202106725
"$\eta$, R (SomaI, H2)",-,-,-,-,0.0028948036566861144,-,0.05227404145574587
"$\eta$, Y (SomaI, Output)",-,-,-,-,0.0016114544772369264,-,0.038760606777246964
"$\eta$, W (SomaI, Output)",-,-,-,-,0.08514800210126446,-,0.0006671745202106725
"$\eta$, Q (SomaI, Output)",-,-,-,-,0.08514800210126446,-,0.0006671745202106725
"$\eta$, R (SomaI, Output)",-,-,-,-,0.0028948036566861144,-,0.05227404145574587
W$_{\mathrm{sum}}$ (H1),-,-,-,-,-,-,9.636047166939331
"Y$_{\mathrm{sum}}$ (SomaI, H1)",-,-,-,-,-,-,5.639070609004222
"W$_{\mathrm{sum}}$ (SomaI, H1)",-,-,-,-,-,-,13.55450217107157
"Q$_{\mathrm{sum}}$ (SomaI, H1)",-,-,-,-,-,-,14.216180292896203
"R$_{\mathrm{sum}}$ (SomaI, H1)",-,-,-,-,-,-,5.755790949927602
W$_{\mathrm{sum}}$ (H2),-,-,-,-,-,-,6.95013552216506
"Y$_{\mathrm{sum}}$ (SomaI, H2)",-,-,-,-,-,-,2.4875377260065243
"W$_{\mathrm{sum}}$ (SomaI, H2)",-,-,-,-,-,-,6.117589449135748
"Q$_{\mathrm{sum}}$ (SomaI, H2)",-,-,-,-,-,-,7.320080818303871
"R$_{\mathrm{sum}}$ (SomaI, H2)",-,-,-,-,-,-,2.671585880657862
"Y$_{\mathrm{sum}}$ (SomaI, Output)",-,-,-,-,-,-,0.1380416992400213
"W$_{\mathrm{sum}}$ (SomaI, Output)",-,-,-,-,-,-,5.5863478659533605
"Q$_{\mathrm{sum}}$ (SomaI, Output)",-,-,-,-,-,-,1.0857341234173712
"R$_{\mathrm{sum}}$ (SomaI, Output)",-,-,-,-,-,-,2.8847808851809877
