Param name,Backprop,Backprop (EIANN),Dend Target Prop
W$_{\mathrm{init}}$ (H1),1.5585121437688132,0.34634970229241296,1.2515801564426885
"$\eta$, W (H1)",0.03782664606215736,0.16054505441740982,0.004531157096362757
W$_{\mathrm{init}}$ (H2),0.44987402300224477,1.9159581109767234,0.9847368481970282
"$\eta$, W (H2)",0.03782664606215736,0.16054505441740982,0.004531157096362757
W$_{\mathrm{init}}$ (Output),3.1333605953440897,1.3744629321965163,0.8454280535376003
"$\eta$, W (Output)",0.03239456848079787,0.04675558581255138,0.04104131109100031
"Y$_{\mathrm{init}}$ (SomaI, H1)",-,0.3793775999178492,0.06480172290199618
"W$_{\mathrm{init}}$ (SomaI, H1)",-,0.2345638479590626,1.6197316302537885
"Q$_{\mathrm{init}}$ (SomaI, H1)",-,0.26488891934380016,0.862543520783099
"R$_{\mathrm{init}}$ (SomaI, H1)",-,1.1681359035005414,1.2164359029537857
"Y$_{\mathrm{init}}$ (SomaI, H2)",-,1.1925264715342325,0.8497135201709712
"W$_{\mathrm{init}}$ (SomaI, H2)",-,2.328515327357697,1.294067777368571
"Q$_{\mathrm{init}}$ (SomaI, H2)",-,0.41805245166674315,1.1235383335761475
"R$_{\mathrm{init}}$ (SomaI, H2)",-,1.2951455208138398,0.9621337779958217
"Y$_{\mathrm{init}}$ (SomaI, Output)",-,0.773126187876416,0.9370545344944556
"W$_{\mathrm{init}}$ (SomaI, Output)",-,1.8620989970697943,0.6709133243700003
"Q$_{\mathrm{init}}$ (SomaI, Output)",-,1.5327463990588632,0.18025094498347677
"R$_{\mathrm{init}}$ (SomaI, Output)",-,1.4046445521253732,6.004975359985889
"Y$_{\mathrm{init}}$ (DendI, H1)",-,-,0.4334951600841279
"$\eta$, Y (DendI, H1)",-,-,0.24610961903028133
B$_{\mathrm{scale}}$ (H1),-,-,0.3117506142233962
"$\eta$, Q (DendI, H1)",-,-,0.11082231356855876
"Q$_{\mathrm{sum}}$ (DendI, H1)",-,-,4.659467073640639
"$\eta$, R (DendI, H1)",-,-,0.056577472498227394
"R$_{\mathrm{sum}}$ (DendI, H1)",-,-,2.867312408536833
"Y$_{\mathrm{init}}$ (DendI, H2)",-,-,0.9920090582938009
"$\eta$, Y (DendI, H2)",-,-,0.24610961903028133
B$_{\mathrm{scale}}$ (H2),-,-,1.6981550948486466
"$\eta$, Q (DendI, H2)",-,-,0.11082231356855876
"Q$_{\mathrm{sum}}$ (DendI, H2)",-,-,33.33551016260789
"$\eta$, R (DendI, H2)",-,-,0.056577472498227394
"R$_{\mathrm{sum}}$ (DendI, H2)",-,-,3.8936612563812925
