Param name,"Feedforward ANN 
(no bias)","Backprop (EIANN) 
(no bias)","Dend Target Prop 
(no bias)","Feedforward ANN 
(no hidden  layers)","Feedforward ANN 
(learned bias)","Backprop (EIANN) 
(learned bias)","Dend Target Prop 
(learned bias)"
W$_{\mathrm{init}}$ (H1),0.7661562722497335,0.6131275385411309,2.4012955462976993,-,3.092179371471005,2.3272180408302083,3.744225231975699
"$\eta$, W (H1)",0.008671959543266558,0.013448112719206729,0.07091479862034537,-,0.2344242206840233,0.1769523365865042,0.08563556008428913
W$_{\mathrm{init}}$ (H2),0.1340356807870724,0.2417308848321429,1.1887202141656101,-,1.0684801270167428,5.183393888582326,3.396275790739738
"$\eta$, W (H2)",0.008671959543266558,0.013448112719206729,0.07091479862034537,-,0.2344242206840233,0.1769523365865042,0.08563556008428913
W$_{\mathrm{init}}$ (Output),3.5188437031669753,1.876311287872052,2.027682194987855,5.386548065293654,0.5433568834277912,5.977812184651836,5.42693091561223
"$\eta$, W (Output)",0.0013093338567102416,0.03718742430289554,0.008067175133788176,0.08158367762594287,0.010809269605442658,0.6722278010177094,0.09769059583309837
"Y$_{\mathrm{init}}$ (SomaI, H1)",-,0.09433188698616012,2.0795497798478135,-,-,4.708083116173457,1.7170718766585993
"W$_{\mathrm{init}}$ (SomaI, H1)",-,0.2633981316147314,1.9137521331048366,-,-,1.0646298621999981,8.526807327982732
"Q$_{\mathrm{init}}$ (SomaI, H1)",-,0.12681364406091267,0.6140729287494098,-,-,0.7308804739762219,2.5572584153779
"R$_{\mathrm{init}}$ (SomaI, H1)",-,0.9137983373562025,3.033007401134379,-,-,1.9855959333563546,3.821257280968513
"Y$_{\mathrm{init}}$ (SomaI, H2)",-,0.08379437739573734,0.5499413114134734,-,-,3.2739710821473262,1.9615628171779207
"W$_{\mathrm{init}}$ (SomaI, H2)",-,0.3013595225808092,2.837361344289605,-,-,3.3865583102791006,3.3568428244733775
"Q$_{\mathrm{init}}$ (SomaI, H2)",-,2.2501635729336016,0.8915120547270652,-,-,0.6920399968903772,2.6727727908526253
"R$_{\mathrm{init}}$ (SomaI, H2)",-,1.2066864480677988,2.6800912944698774,-,-,1.6564037734849306,2.527793096667097
"Y$_{\mathrm{init}}$ (SomaI, Output)",-,0.26254229241902155,1.505594142433112,-,-,1.7629930575686048,1.1146623041886365
"W$_{\mathrm{init}}$ (SomaI, Output)",-,0.5409982149056294,0.30349326436387225,-,-,2.2899382496765948,1.9823693413208623
"Q$_{\mathrm{init}}$ (SomaI, Output)",-,0.1217279620800388,0.06932742253127393,-,-,1.4600401572902482,0.9622943352611545
"R$_{\mathrm{init}}$ (SomaI, Output)",-,1.7805200793653517,0.7752282811624321,-,-,1.5591878259608454,3.924537045484193
"Y$_{\mathrm{init}}$ (DendI, H1)",-,-,0.6956827403710787,-,-,-,0.7284678918500063
"$\eta$, Y (DendI, H1)",-,-,0.1001120320314592,-,-,-,0.21017123441495889
B$_{\mathrm{scale}}$ (H1),-,-,0.4226775539087423,-,-,-,0.18792672488527343
"$\eta$, Q (DendI, H1)",-,-,0.0952585373676334,-,-,-,0.08025562647850921
"Q$_{\mathrm{sum}}$ (DendI, H1)",-,-,22.957203595422914,-,-,-,9.419321612663568
"$\eta$, R (DendI, H1)",-,-,0.03435512003722571,-,-,-,0.013435734037685639
"R$_{\mathrm{sum}}$ (DendI, H1)",-,-,1.945052260741741,-,-,-,1.1712464320902214
"Y$_{\mathrm{init}}$ (DendI, H2)",-,-,2.3199986568036155,-,-,-,2.713538702536155
"$\eta$, Y (DendI, H2)",-,-,0.1001120320314592,-,-,-,0.21017123441495889
B$_{\mathrm{scale}}$ (H2),-,-,0.3319987552558894,-,-,-,0.7149623055734934
"$\eta$, Q (DendI, H2)",-,-,0.0952585373676334,-,-,-,0.08025562647850921
"Q$_{\mathrm{sum}}$ (DendI, H2)",-,-,3.481537410204755,-,-,-,11.689952522403562
"$\eta$, R (DendI, H2)",-,-,0.03435512003722571,-,-,-,0.013435734037685639
"R$_{\mathrm{sum}}$ (DendI, H2)",-,-,1.3839984361631712,-,-,-,2.147366810208358
"$\eta$, bias (Output)",-,-,-,0.000494197567654425,0.06332269100152069,0.012947926415502598,0.004577231612808623
"$\eta$, bias (H1)",-,-,-,-,0.09062365730598693,0.008451149236900886,0.025063484152912128
"$\eta$, bias (H2)",-,-,-,-,0.09062365730598693,0.008451149236900886,0.025063484152912128
