Param name,Feedforward ANN,"Feedforward ANN 
(no hidden layers)","Feedforward ANN 
(fixed hidden layers)",Backprop (EIANN),Dend Target Prop
W$_{\mathrm{init}}$ (H1),4.905564537081869,-,2.2639002958165,3.3760676840413897,0.8637802765354401
"$\eta$, W (H1)",0.06265631385017711,-,-,0.3302088696191679,0.04341836198029683
W$_{\mathrm{init}}$ (H2),0.44935169674812764,-,0.7152195070857138,0.3727728154132749,0.1664000617051152
"$\eta$, W (H2)",0.06265631385017711,-,-,0.3302088696191679,0.04341836198029683
W$_{\mathrm{init}}$ (Output),1.4250203664388548,0.010453189114680224,0.14910491500745882,1.4313849364729725,0.6051491854075509
"$\eta$, W (Output)",0.016382755788845328,0.0016869881759913501,0.02738169902913041,0.010448864605842031,0.03198259753832984
"Y$_{\mathrm{init}}$ (SomaI, H1)",-,-,-,2.194058825729849,0.8141134932350813
"W$_{\mathrm{init}}$ (SomaI, H1)",-,-,-,2.1028025005953017,1.324996639077444
"Q$_{\mathrm{init}}$ (SomaI, H1)",-,-,-,0.23465954820767837,0.5305888968865659
"R$_{\mathrm{init}}$ (SomaI, H1)",-,-,-,1.1422461828951287,1.1188609906318894
"Y$_{\mathrm{init}}$ (SomaI, H2)",-,-,-,0.7421578852811115,0.5974339993718294
"W$_{\mathrm{init}}$ (SomaI, H2)",-,-,-,0.2725887302171289,0.38423528928552564
"Q$_{\mathrm{init}}$ (SomaI, H2)",-,-,-,1.8109625224655255,0.3750353219293164
"R$_{\mathrm{init}}$ (SomaI, H2)",-,-,-,9.215804784458818,1.3660227918982764
"Y$_{\mathrm{init}}$ (SomaI, Output)",-,-,-,1.154292489543906,0.342817545714717
"W$_{\mathrm{init}}$ (SomaI, Output)",-,-,-,1.8406603142422193,0.04758426168839178
"Q$_{\mathrm{init}}$ (SomaI, Output)",-,-,-,0.4257301795500923,1.0982121325566407
"R$_{\mathrm{init}}$ (SomaI, Output)",-,-,-,1.8257993256009108,4.068425788563914
"Y$_{\mathrm{init}}$ (DendI, H1)",-,-,-,-,0.02895403600495912
"$\eta$, Y (DendI, H1)",-,-,-,-,0.23474074162659092
B$_{\mathrm{scale}}$ (H1),-,-,-,-,0.05177478008857764
"$\eta$, Q (DendI, H1)",-,-,-,-,0.03832040832738861
"Q$_{\mathrm{sum}}$ (DendI, H1)",-,-,-,-,13.195718703782386
"$\eta$, R (DendI, H1)",-,-,-,-,0.08124416080006751
"R$_{\mathrm{sum}}$ (DendI, H1)",-,-,-,-,3.616931187069389
"Y$_{\mathrm{init}}$ (DendI, H2)",-,-,-,-,0.46972079928386185
"$\eta$, Y (DendI, H2)",-,-,-,-,0.23474074162659092
B$_{\mathrm{scale}}$ (H2),-,-,-,-,2.605770102199695
"$\eta$, Q (DendI, H2)",-,-,-,-,0.03832040832738861
"Q$_{\mathrm{sum}}$ (DendI, H2)",-,-,-,-,5.274990428911362
"$\eta$, R (DendI, H2)",-,-,-,-,0.08124416080006751
"R$_{\mathrm{sum}}$ (DendI, H2)",-,-,-,-,2.819782788622057
